Prefetcher,Start,End,Vertices Requested,Vertices Evicted,Cache Hits, Cache Misses,Total Runtime,Total DB time,DB calls
Lookahead (60),1,50,6573,0,6570,3,1262372565,594635967,183
Lookahead (70),1,50,6573,0,6570,3,1669393081,742067976,213
Lookahead (80),1,50,6573,0,6571,2,1929260964,697331120,162
Lookahead (90),1,50,6573,0,6571,2,2580401407,896905397,182
Lookahead (100),1,50,6573,0,6571,2,2814004996,992788087,202
Null Prefetcher,1,50,6573,0,1404,5169,12078167532,11556570198,5169
Block (1),1,50,6573,0,1404,5169,292359940589,291413736591,5169
Block (10),1,50,6573,0,1404,5169,298420414155,297499671618,5169
Block (50),1,50,6573,0,1406,5167,294027817048,293106148661,5167
Block (100),1,50,6573,0,1414,5159,290532195287,289617484127,5159
Block (250),1,50,6573,0,1588,4985,277598499646,276701408916,4985
Block (500),1,50,6573,0,2129,4444,256497927018,255630036212,4444
Block (1000),1,50,6573,0,3443,3130,185528188936,184807492192,3130
Block (5000),1,50,6573,0,6149,424,25941344981,25196251847,424
Block (10000),1,50,6573,0,6433,140,10053153067,8649665127,140
Block (20000),1,50,6573,0,6531,42,6674856187,3715233273,42
[0m[[32msuccess[0m] [0mTotal time: 20360 s, completed 22-May-2016 06:18:25[0m
Prefetcher,Start,End,Vertices Requested,Vertices Evicted,Cache Hits, Cache Misses,Total Runtime,Total DB time,DB calls
CTE Lookahead (1),171677,164352,14091,0,5109,8982,7885083590,6521413861,8982
CTE Lookahead (2),171677,164352,14091,0,10028,4063,4339696507,3415088549,4063
CTE Lookahead (3),171677,164352,14091,0,12046,2045,2799737129,1968343767,2045
CTE Lookahead (4),171677,164352,14091,0,12843,1248,2248111381,1448745920,1248
CTE Lookahead (5),171677,164352,14091,0,13274,817,2319868059,1417169495,817
CTE Lookahead (6),171677,164352,14091,0,13502,589,3333752118,2268199563,589
CTE Lookahead (7),171677,164352,14091,0,13668,423,5366333405,4047164583,423
CTE Lookahead (8),171677,164352,14091,0,13750,341,11657316996,9919934940,341
CTE Lookahead (9),171677,164352,14091,0,13825,266,27296890125,25252080894,266
